ParticipantID,ActivityID
1,131
1,176
2,212
3,176
3,208
3,255
4,127
4,108
4,122
4,176
4,315
4,212
5,326
6,176
6,255
7,152
7,176
7,212
7,259
8,310
8,240
9,403
9,255
9,20
10,212
10,32
10,245
10,233
10,389
11,122
11,212
11,82
12,176
12,212
13,176
14,17
15,131
15,244
16,3
16,153
17,122
17,263
17,176
17,212
18,307
18,255
18,33
19,131
19,176
20,176
20,255
20,243
21,255
21,310
22,227
23,27
24,228
25,131
25,176
25,212
26,212
26,131
27,255
27,212
28,131
28,212
28,199
29,255
29,98
30,176
30,131
30,189
31,243
31,4
31,212
32,255
32,176
32,403
33,416
34,176
35,176
35,371
36,164
37,176
37,212
37,99
37,131
38,169
39,176
40,176
40,122
40,352
41,212
41,14
42,212
43,255
43,310
43,139
44,242
45,319
46,131
46,176
47,176
47,234
48,248
49,255
49,176
49,243
50,370
51,78
52,100
53,255
53,176
54,256
55,147
56,122
56,222
57,164
58,80
58,424
59,16
59,267
59,171
60,175
61,176
61,51
61,255
62,221
63,130
63,200
64,334
65,176
66,122
66,86
67,176
68,349
69,212
69,96
69,108
70,417
71,105
72,176
72,212
72,160
72,320
73,212
73,176
73,255
73,82
73,373
74,212
75,212
76,255
76,176
77,131
77,161
77,212
77,325
78,176
79,176
79,403
80,255
80,176
81,212
82,255
82,81
83,197
84,164
85,176
85,1
85,51
85,330
86,176
86,255
86,420
87,176
87,94
88,370
89,428
89,255
90,119
91,255
91,176
91,212
92,202
93,254
94,114
94,121
94,208
95,110
95,205
95,212
96,207
97,176
97,28
98,176
98,212
98,131
99,350
100,212
100,255
101,212
102,176
103,258
104,291
104,176
104,279
105,128
105,176
105,255
105,318
106,176
106,212
107,212
107,176
107,201
107,355
108,77
109,255
109,212
110,131
110,212
110,325
110,360
111,131
111,176
111,212
112,396
113,255
113,305
113,424
113,35
114,212
114,58
115,255
115,212
116,99
116,212
117,131
117,176
118,255
118,176
118,212
118,108
119,229
119,176
119,212
119,293
120,255
120,176
120,390
120,107
121,176
121,255
121,411
122,62
123,131
123,176
123,97
124,212
124,220
124,177
125,253
126,422
127,212
127,284
128,131
128,212
128,252
129,255
129,176
129,243
130,176
131,176
132,415
133,176
133,255
133,51
133,134
134,398
134,42
134,66
134,176
135,206
136,146
137,255
137,225
138,255
138,176
138,51
139,397
140,111
141,14
141,176
141,122
141,304
142,131
142,176
143,6
144,212
144,130
144,309
144,126
144,298
144,176
145,131
145,176
145,212
146,357
147,226
148,176
148,212
148,131
148,369
148,51
149,255
149,176
149,69
149,60
150,217
151,176
151,255
152,176
152,255
152,408
153,223
154,212
154,383
154,299
154,250
154,294
154,341
155,255
155,243
155,128
155,312
156,176
157,255
157,314
157,224
157,212
157,36
157,45
158,311
158,19
158,251
158,29
158,237
158,286
158,297
159,5
159,136
160,335
161,150
161,212
161,176
162,123
163,176
164,129
165,176
165,255
165,51
166,185
167,255
167,13
167,280
168,255
168,212
168,176
168,178
169,193
170,131
170,176
170,385
171,131
171,108
171,212
171,176
171,85
172,232
172,255
172,51
172,108
173,377
174,176
174,420
174,255
175,210
176,90
177,310
177,73
177,328
178,212
178,262
178,315
178,39
178,182
179,131
179,176
180,212
180,51
180,255
181,423
181,400
181,367
182,289
182,308
182,219
183,176
183,131
184,176
184,255
184,51
185,366
186,176
186,255
187,365
188,212
188,149
188,325
188,338
189,255
189,176
190,255
190,176
191,176
191,362
192,131
192,69
192,115
193,255
193,176
193,295
194,61
195,123
196,131
196,186
196,401
197,319
198,176
198,51
199,116
200,131
200,176
201,176
202,212
202,255
203,176
203,255
204,110
204,176
205,131
205,212
205,181
205,102
206,198
207,176
207,131
207,108
207,79
208,131
208,176
208,212
208,421
209,255
209,176
209,22
209,106
209,387
209,399
209,407
210,176
211,381
212,131
212,176
213,212
213,255
214,255
214,176
215,11
215,255
215,51
216,255
216,176
217,141
218,30
218,388
218,418
218,131
218,408
219,397
220,176
220,78
220,409
220,138
221,131
221,310
221,2
221,231
222,255
222,156
222,176
223,131
223,176
223,143
224,321
224,149
224,255
224,51
225,176
226,176
227,176
227,255
227,243
227,235
228,104
229,212
229,325
229,413
230,131
230,176
230,112
231,255
231,14
231,310
232,397
233,301
234,327
235,176
235,105
236,194
237,212
238,131
238,51
238,176
238,212
239,124
239,180
239,176
239,51
239,75
239,190
239,331
239,46
240,131
240,176
241,131
241,176
241,212
241,314
241,273
242,212
242,168
242,410
242,118
243,176
244,345
245,324
246,44
247,176
248,255
248,72
249,255
249,176
250,50
250,176
250,8
251,176
251,255
252,255
252,128
252,332
253,84
254,183
254,255
254,277
254,426
254,361
255,255
255,51
255,176
255,170
256,212
257,176
257,128
257,243
257,263
257,255
257,51
258,255
258,243
258,176
258,128
259,212
259,51
259,255
259,101
260,213
261,370
262,176
263,255
263,176
263,212
264,112
264,255
264,51
264,212
265,128
265,366
266,131
266,176
267,137
267,176
267,122
268,255
268,243
268,51
268,310
268,176
269,176
269,310
269,122
270,57
271,397
272,179
273,292
274,130
274,343
274,143
275,317
276,176
276,212
276,255
277,255
277,176
278,243
278,176
278,78
279,176
279,51
279,208
280,359
281,176
282,255
282,65
283,255
283,230
283,378
283,285
284,358
285,176
285,208
285,323
285,131
286,255
286,176
286,212
287,176
287,131
287,393
288,255
288,176
288,257
289,176
290,176
290,255
290,78
291,255
291,176
291,212
292,212
292,176
292,140
293,255
293,135
293,212
294,176
294,114
295,264
295,212
296,155
297,212
297,255
297,316
297,347
298,255
298,176
299,255
299,176
299,364
299,59
300,212
301,204
301,78
302,196
303,90
304,176
304,212
304,255
305,212
305,325
305,12
306,266
307,272
308,176
309,15
310,368
310,43
311,167
312,49
313,255
313,176
313,128
314,176
314,255
314,403
314,364
315,120
316,255
316,183
316,83
317,313
318,131
318,212
319,63
320,24
321,154
322,425
323,176
323,249
323,212
323,255
323,20
324,122
324,176
324,302
325,176
325,122
326,131
326,375
327,133
328,191
329,392
329,260
329,337
330,176
331,122
331,176
331,212
332,131
332,310
332,215
333,131
333,212
333,403
333,176
334,406
335,281
336,212
337,209
338,176
338,246
338,172
338,282
339,195
339,255
339,339
339,348
339,376
340,176
340,322
341,176
341,255
341,243
342,89
342,379
342,382
343,278
344,255
344,265
345,247
346,95
346,386
347,216
347,239
348,176
348,55
349,176
350,176
351,212
352,255
352,241
353,131
353,51
353,47
354,187
355,255
355,403
355,236
355,212
356,238
357,370
358,10
359,50
359,176
359,212
359,412
359,40
360,125
361,212
361,176
361,255
362,212
362,131
362,176
362,108
363,351
364,48
365,212
365,259
365,73
366,131
366,176
366,214
367,212
368,131
368,176
368,212
368,374
369,176
369,203
369,283
369,93
369,91
369,70
370,63
371,109
371,176
371,424
371,306
372,212
372,131
373,176
373,76
374,384
375,397
376,131
376,122
376,176
376,144
377,255
377,176
377,303
378,131
378,192
378,243
379,255
379,176
380,176
380,157
381,255
381,176
381,159
382,131
383,274
384,131
384,176
384,87
385,176
385,255
386,176
387,158
388,41
389,176
389,330
389,142
390,211
390,176
390,255
390,300
390,151
390,18
390,356
391,345
392,255
392,176
392,408
393,346
394,404
395,131
395,176
396,131
396,176
396,275
397,176
398,163
399,353
399,176
399,255
400,122
400,405
401,90
402,176
403,176
403,255
404,176
404,122
405,131
405,271
407,255
408,131
408,176
408,269
409,176
409,414
410,63
411,131
412,255
413,131
414,74
414,14
414,255
414,218
414,165
414,25
414,176
415,37
415,34
416,131
417,176
417,54
417,23
418,44
419,145
420,56
420,52
421,329
422,131
424,363
425,131
425,108
426,131
427,255
428,176
428,122
428,290
429,255
430,255
430,243
430,263
430,176
430,380
431,184
431,68
431,176
432,354
433,148
434,363
435,131
436,131
436,243
437,255
438,9
438,372
439,131
440,131
440,176
441,123
442,255
443,394
444,131
445,363
446,123
447,131
447,176
448,176
448,131
449,255
450,176
451,176
451,162
451,270
452,131
452,176
452,331
453,255
453,176
453,53
454,176
454,255
455,176
456,188
456,268
456,176
457,176
457,276
458,90
459,397
460,50
460,176
460,344
460,21
461,176
461,122
462,255
463,71
464,255
464,117
464,296
465,176
466,176
467,340
467,176
467,342
468,176
468,255
469,255
469,176
470,176
470,288
471,131
471,243
472,176
472,122
473,131
473,176
473,395
474,408
474,320
474,92
475,176
475,255
475,373
475,243
475,51
475,287
475,88
476,184
477,131
478,419
479,50
480,131
480,261
481,427
482,255
483,131
484,255
484,64
485,113
485,173
486,132
487,402
488,103
489,176
490,131
490,336
490,26
491,131
491,38
491,323
491,176
492,255
492,176
493,166
494,3
495,255
496,131
497,176
497,131
497,391
498,131
498,176
499,131
499,176
500,131
501,255
501,265
502,176
502,67
503,174
504,131
504,14
504,243
505,243
506,176
506,122
506,364
507,255
507,176
508,184
508,176
508,31
509,255
510,123
511,255
511,176
512,122
512,176
512,7
513,333
514,363
515,176
515,263
